Year,Dog,Cat
2000,68,73
2002,65,77.7
2004,73.9,90.5
2006,74.8,88.3
2008,77.5,93.6
2012,78.2,86.4
2014,83.3,95.6
2015,77.8,85.8
2017,89.7,95.6
